location_id,city,region,country
l_berlin-maryland-usa,Berlin,Maryland,USA
l_memphis-tennessee-usa,Memphis,Tennessee,USA
l_pengilly-minnesota-usa,Pengilly,Minnesota,USA
l_san-francisco-california-usa,San Francisco,California,USA
l_davidson-north-carolina-usa,Davidson,North Carolina,USA
l_burlington-ontario-canada,Burlington,Ontario,Canada
l_eighty-four-pennsylvania-usa,Eighty Four,Pennsylvania,USA
l_oak-ridge-north-carolina-usa,Oak Ridge,North Carolina,USA
l_ashland-city-tennessee-usa,Ashland City,Tennessee,USA
l_toronto-ontario-canada,Toronto,Ontario,Canada
l_cary-north-carolina-usa,Cary,North Carolina,USA
l_beloit-wisconsin-usa,Beloit,Wisconsin,USA
l_kingsport-tennessee-usa,Kingsport,Tennessee,USA
l_asan-si-chungcheongnam-do-korea,"Asan-si, Chungcheongnam-do",,Korea
l_fremont-california-usa,Fremont,California,USA
l_vandalia-ohio-usa,Vandalia,Ohio,USA
l_tampa-florida-usa,Tampa,Florida,USA
l_s-o-jos-do-rio-preto-s-o-paulo-brazil,"São José do Rio Preto, São Paulo",,Brazil
l_neenah-wisconsin-usa,Neenah,Wisconsin,USA
l_fayetteville-arkansas-usa,Fayetteville,Arkansas,USA
l_provo-utah-usa,Provo,Utah,USA
l_martinsville-virginia-usa,Martinsville,Virginia,USA
l_big-lake-minnesota-usa,Big Lake,Minnesota,USA
l_bellevue-washington-state-usa,Bellevue,Washington State,USA
l_irvine-california-usa,Irvine,California,USA
l_new-york-new-york-usa,New York,New York,USA
l_somerville-massachusetts-usa,Somerville,Massachusetts,USA
l_earth-city-missouri-usa,Earth City,Missouri,USA
l_sanford-maine-usa,Sanford,Maine,USA
l_palmetto-florida-usa,Palmetto,Florida,USA
l_knoxville-tennessee-usa,Knoxville,Tennessee,USA
l_miamisburg-ohio-usa,Miamisburg,Ohio,USA
l_orlando-florida-usa,Orlando,Florida,USA
l_portland-oregon-usa,Portland,Oregon,USA
l_libreville-estuaire-gabon,"Libreville, Estuaire",,Gabon
l_lake-worth-beach-florida-usa,Lake Worth Beach,Florida,USA
l_bainbridge-island-washington-state-usa,Bainbridge Island,Washington State,USA
l_jupiter-florida-usa,Jupiter,Florida,USA
l_marshfield-massachusetts-usa,Marshfield,Massachusetts,USA
l_surrey-british-columbia-canada,Surrey,British Columbia,Canada
l_armada-michigan-usa,Armada,Michigan,USA
l_istanbul-istanbul-turkey,"Istanbul, Istanbul",,Turkey
l_moorestown-new-jersey-usa,Moorestown,New Jersey,USA
l_lancaster-pennsylvania-usa,Lancaster,Pennsylvania,USA
l_brooklyn-new-york-usa,Brooklyn,New York,USA
l_zhongshan-guangdong-china,"ZHONGSHAN, Guangdong",,China
l_dover-delaware-usa,Dover,Delaware,USA
l_charlotte-north-carolina-usa,Charlotte,North Carolina,USA
l_shenzhen-guangdong-china,"Shenzhen, Guangdong",,China
l_brentwood-tennessee-usa,Brentwood,Tennessee,USA
l_rochester-new-york-usa,Rochester,New York,USA
l_golf-florida-usa,Golf,Florida,USA
l_riyadh-al-riyadh-saudi-arabia,"Riyadh, Al Riyadh",,Saudi Arabia
l_holland-michigan-usa,Holland,Michigan,USA
l_grand-prairie-texas-usa,Grand Prairie,Texas,USA
l_miami-florida-usa,Miami,Florida,USA
l_kayseri-kayseri-turkey,"Kayseri, Kayseri",,Turkey
l_heyuan-guangdong-china,"Heyuan, Guangdong",,China
