company_id,segment_id
c_eb22e20c195b,s_business-management-and-professional-services
c_5e0c241f9d9e,s_business-management-and-professional-services
c_9c573f8700a3,s_business-management-and-professional-services
c_cc06c46d3eb1,s_business-management-and-professional-services
c_1348ef557138,s_building-materials
c_51296ec6cd00,s_business-management-and-professional-services
c_2f2d3e1f64ef,s_building-materials
c_ee4f8aac46fc,s_building-materials
c_3e809d337887,s_building-materials
c_393ae66de612,s_business-management-and-professional-services
c_f30b3786008c,s_business-management-and-professional-services
c_59b36cc4f136,s_building-materials
c_9238757a38f8,s_building-materials
c_2cdb151d8438,s_interior-finishings-and-home-living
c_3dce52630441,s_interior-finishings-and-home-living
c_0f7e535879fd,s_building-materials
c_3c05444c8f64,s_building-materials
c_05361b5576ca,s_building-materials
c_7b3d5d5a8d5b,s_interior-finishings-and-home-living
c_ac0e0b78b935,s_business-management-and-professional-services
c_d5b0e6b7fb78,s_outdoor-living-leisure-and-modular-structures
c_1ce7eae261db,s_building-materials
c_76d080afbf2a,s_interior-finishings-and-home-living
c_e91db6433427,s_business-management-and-professional-services
c_feb1b3bd816d,s_interior-finishings-and-home-living
c_00cef394e044,s_business-management-and-professional-services
c_d37bd4f282b7,s_building-materials
c_4e60aea8bc5f,s_building-materials
c_8812b6020613,s_building-materials
c_ba9085bb36db,s_building-materials
c_828677858544,s_building-materials
c_c93e45a46bd6,s_building-materials
c_33186f299e6b,s_interior-finishings-and-home-living
c_18546f1c64dd,s_business-management-and-professional-services
c_97f5f902812e,s_building-materials
c_5f766def78dc,s_interior-finishings-and-home-living
c_d8f12e9c1ffb,s_outdoor-living-leisure-and-modular-structures
c_8080cac04660,s_business-management-and-professional-services
c_4839c5ffb4ca,s_building-materials
c_5b1f3741b12f,s_building-materials
c_0830eb1dd950,s_outdoor-living-leisure-and-modular-structures
c_c3db54e3ed7e,s_building-materials
c_b87085b8fe19,s_building-materials
c_9bd4b0eba433,s_building-materials
c_15a5c4602042,s_building-materials
c_4dde71320465,s_business-management-and-professional-services
c_7b8e69892806,s_business-management-and-professional-services
c_987e730460ea,s_building-materials
c_90caf0eb2fb5,s_interior-finishings-and-home-living
c_575f8361e575,s_business-management-and-professional-services
c_e00e480294ee,s_interior-finishings-and-home-living
c_f60cf73add98,s_building-materials
c_9176d6ef642e,s_construction-tools-systems-equipment-and-safety
c_33e581034211,s_building-materials
c_ae5b98ecc424,s_building-materials
c_c0fa577307aa,s_interior-finishings-and-home-living
c_b44beb62a329,s_building-materials
c_cfde335b2f56,s_business-management-and-professional-services
c_84aa540796a7,s_building-materials
c_038982b90145,s_outdoor-living-leisure-and-modular-structures
c_5e4c37880326,s_building-materials
c_f0d70792857f,s_building-materials
c_39101b238a83,s_building-materials
c_a76bbddd102d,s_outdoor-living-leisure-and-modular-structures
c_7b24fff9c308,s_interior-finishings-and-home-living
c_890638c4d072,s_interior-finishings-and-home-living
c_d5846a9f313c,s_building-materials
c_3eddc8e5d98a,s_interior-finishings-and-home-living
c_c0a49b4e9384,s_building-materials
c_5ed32c626f55,s_building-materials
c_541cb92cea3b,s_building-materials
c_ffc03a1adce6,s_building-materials
c_2e444757d991,s_business-management-and-professional-services
c_9c9a60b32ae0,s_outdoor-living-leisure-and-modular-structures
c_34defa479ae5,s_interior-finishings-and-home-living
c_b48d6372a714,s_building-materials
c_7892a45607cb,s_building-materials
c_f7970f5d6a09,s_business-management-and-professional-services
c_db3649c9d111,s_building-materials
c_c81ea5e97b97,s_interior-finishings-and-home-living
c_4d1572324610,s_building-materials
c_af1525370e09,s_building-materials
c_32adfdae6116,s_interior-finishings-and-home-living
c_35450834ca97,s_business-management-and-professional-services
c_e24b1a10461a,s_interior-finishings-and-home-living
c_9e6f6d7c0628,s_outdoor-living-leisure-and-modular-structures
c_c7e751bfce8e,s_building-materials
c_8e4f26467856,s_building-materials
c_ed5529483c79,s_interior-finishings-and-home-living
c_55351eb97505,s_building-materials
c_acf432865ac2,s_business-management-and-professional-services
c_ca55c8568982,s_building-materials
c_8ea4a2606738,s_building-materials
c_f236711970a5,s_building-materials
c_4940c22ec53f,s_building-materials
c_c15a691a5fbc,s_construction-tools-systems-equipment-and-safety
c_cda72ced5164,s_building-materials
c_78a314199d1b,s_business-management-and-professional-services
c_03eae29d0b23,s_building-materials
c_5fa258d418e7,s_building-materials
c_ab857d397a3e,s_business-management-and-professional-services
c_d2ef351252fb,s_interior-finishings-and-home-living
c_c7d557c84987,s_building-materials
c_2a0f81d9a533,s_interior-finishings-and-home-living
c_e84d629c1db5,s_interior-finishings-and-home-living
c_510171c67736,s_building-materials
c_bacebadbef42,s_building-materials
c_4dc074f27306,s_interior-finishings-and-home-living
c_c1c82d0bb0fd,s_business-management-and-professional-services
c_f217a7309ca9,s_business-management-and-professional-services
c_359c57250ba1,s_building-materials
c_5cde420aac67,s_building-materials
c_4ce0534f1ab9,s_outdoor-living-leisure-and-modular-structures
c_8f225906e25b,s_building-materials
c_1ab2ad5f8c43,s_interior-finishings-and-home-living
c_bf1ce3ff18a8,s_building-materials
c_54aad87c0f25,s_building-materials
c_2c1d33b37c6e,s_construction-tools-systems-equipment-and-safety
c_61d4cbcf0a65,s_interior-finishings-and-home-living
c_8d0f76e14f68,s_building-materials
c_06f8338a383d,s_building-materials
c_0eb82d8be44d,s_business-management-and-professional-services
c_3ce554c5fc79,s_construction-tools-systems-equipment-and-safety
c_d47571191eec,s_business-management-and-professional-services
c_7fb070c050fb,s_outdoor-living-leisure-and-modular-structures
c_ec7e750bbbb8,s_outdoor-living-leisure-and-modular-structures
c_0fb43e580443,s_construction-tools-systems-equipment-and-safety
c_c60b242d7221,s_construction-tools-systems-equipment-and-safety
c_cee61afb4c01,s_building-materials
c_f7556a3a5397,s_building-materials
c_54aab7ba34b1,s_construction-tools-systems-equipment-and-safety
c_57f064a79f03,s_business-management-and-professional-services
c_da28c32a60d8,s_business-management-and-professional-services
c_545b4e6cff3e,s_building-materials
c_72ce3e193f82,s_building-materials
c_5152bc06ba52,s_building-materials
c_878a09c78386,s_building-materials
c_f1facd5328ce,s_building-materials
c_7b2fad1e3734,s_outdoor-living-leisure-and-modular-structures
c_a0ff9ef2fc23,s_business-management-and-professional-services
c_267ae7ceb0f7,s_global-products
c_147a00cfedeb,s_business-management-and-professional-services
c_7d6fb722bcce,s_building-materials
c_9b33613351e4,s_building-materials
c_21ba70bbf21d,s_business-management-and-professional-services
c_f4c7ff5207cf,s_construction-tools-systems-equipment-and-safety
c_a0af78c9dfc5,s_building-materials
c_fa51530a32a2,s_building-materials
c_e4a4cccfede3,s_interior-finishings-and-home-living
c_124ce58b36af,s_construction-tools-systems-equipment-and-safety
c_4a531ebc7b2f,s_building-materials
c_b2d2d71eeec3,s_building-materials
c_f4d8fd920ebe,s_construction-tools-systems-equipment-and-safety
c_b284d59a48b3,s_business-management-and-professional-services
c_2a89727d1d61,s_interior-finishings-and-home-living
c_4e85476d2024,s_building-materials
c_7ac09ef78b57,s_building-materials
c_6ac3e51aa86b,s_building-materials
c_ab778efae5e8,s_outdoor-living-leisure-and-modular-structures
c_d79ee1be616d,s_business-management-and-professional-services
c_99a9525a79bd,s_interior-finishings-and-home-living
c_b428df98f9d7,s_construction-tools-systems-equipment-and-safety
c_cc2379187555,s_building-materials
c_40940930dcab,s_business-management-and-professional-services
c_f0ddf9a4abb5,s_building-materials
c_fbc749e049d5,s_business-management-and-professional-services
c_029354146399,s_building-materials
c_44983d5dd892,s_building-materials
c_f5da2a06183e,s_outdoor-living-leisure-and-modular-structures
c_ca7ddb044f50,s_construction-tools-systems-equipment-and-safety
c_b510e226f739,s_construction-tools-systems-equipment-and-safety
c_09633ee30b90,s_construction-tools-systems-equipment-and-safety
c_f22325710992,s_interior-finishings-and-home-living
c_bd6632dbce44,s_construction-tools-systems-equipment-and-safety
c_c6798f8581fb,s_interior-finishings-and-home-living
c_c03b986bb10e,s_interior-finishings-and-home-living
c_36c8ae4c0ee9,s_building-materials
c_b826aada5e41,s_business-management-and-professional-services
c_490d18aed48a,s_business-management-and-professional-services
c_4afa6c5979f0,s_outdoor-living-leisure-and-modular-structures
c_8b96197e7e21,s_interior-finishings-and-home-living
c_ddad5430abee,s_building-materials
c_94ae919c10ac,s_building-materials
c_c7dbead0bfab,s_outdoor-living-leisure-and-modular-structures
c_9eed78ed2c99,s_building-materials
c_4ad42750dc2d,s_building-materials
c_abf66e0be5aa,s_outdoor-living-leisure-and-modular-structures
c_b08bfc10e264,s_building-materials
c_02e115d9f5c2,s_construction-tools-systems-equipment-and-safety
c_0fffad5edb3a,s_building-materials
c_884700f9f1b6,s_building-materials
c_04b9d9a3c59a,s_interior-finishings-and-home-living
c_4099731ef3e7,s_global-products
c_f0709cfb6de7,s_building-materials
c_78dd27115e8c,s_building-materials
c_053fba37245e,s_business-management-and-professional-services
c_b3a18871d945,s_global-products
c_ea4a25c830fc,s_construction-tools-systems-equipment-and-safety
c_fb3593a3c2d4,s_outdoor-living-leisure-and-modular-structures
c_3a95465ea3c1,s_building-materials
c_17a22bda4bee,s_outdoor-living-leisure-and-modular-structures
c_2905c173ab22,s_outdoor-living-leisure-and-modular-structures
c_269545e2bffb,s_outdoor-living-leisure-and-modular-structures
c_4507bd35b6dd,s_building-materials
c_79c2d3e4369c,s_outdoor-living-leisure-and-modular-structures
c_be92a36d5420,s_outdoor-living-leisure-and-modular-structures
c_1d6d3fed7f1a,s_business-management-and-professional-services
c_1f6950a4c62d,s_business-management-and-professional-services
c_5b1941979ffd,s_building-materials
c_f195c2a75f16,s_building-materials
c_74a058b8add7,s_business-management-and-professional-services
c_4e3eac049a3c,s_business-management-and-professional-services
c_0f5ef587cba0,s_business-management-and-professional-services
c_1740b0ef7fe6,s_business-management-and-professional-services
c_5c3895e06884,s_business-management-and-professional-services
c_061792398f0d,s_business-management-and-professional-services
c_440d42a4845e,s_business-management-and-professional-services
c_093924dc9838,s_business-management-and-professional-services
c_47587afdafce,s_business-management-and-professional-services
c_046eabf77c6b,s_business-management-and-professional-services
c_9390d99e1a7b,s_business-management-and-professional-services
c_b6b3151c7d61,s_construction-tools-systems-equipment-and-safety
c_f281e66df156,s_building-materials
c_80103f3f670e,s_business-management-and-professional-services
c_b5b5f8572ca8,s_business-management-and-professional-services
c_cbd513e76f0e,s_interior-finishings-and-home-living
c_6391258a397d,s_building-materials
c_fce5dca9509e,s_business-management-and-professional-services
c_0761a5e4c8d6,s_business-management-and-professional-services
c_ca7e9c82ca2d,s_building-materials
c_261d93b85eb9,s_business-management-and-professional-services
c_9d7935827231,s_interior-finishings-and-home-living
c_bd0db24154fd,s_business-management-and-professional-services
c_67dcad585a1e,s_interior-finishings-and-home-living
c_362c51789021,s_business-management-and-professional-services
c_7d26b0d7698e,s_outdoor-living-leisure-and-modular-structures
c_2171635cf976,s_outdoor-living-leisure-and-modular-structures
c_9a1c5b98733b,s_construction-tools-systems-equipment-and-safety
c_413ebbaf7c89,s_building-materials
c_b8c126d7d39e,s_interior-finishings-and-home-living
c_920e0c079f72,s_building-materials
c_4b8a8a95f573,s_interior-finishings-and-home-living
c_181b3b4cba68,s_global-products
c_a391f582ae15,s_interior-finishings-and-home-living
c_b736347c0cb7,s_interior-finishings-and-home-living
c_3620f78600d0,s_building-materials
c_543f38c58d04,s_building-materials
c_7e45627c5ba7,s_building-materials
c_1a08d001ce4b,s_building-materials
c_232fba7fa6be,s_interior-finishings-and-home-living
c_5d1cc00e7307,s_business-management-and-professional-services
c_cf41b1d1ff61,s_building-materials
