Company,Segment,ProfileURL,CompanyWebsite,Status,Emails,SocialLinks,MetaDescription,ReportPath,Description,Gemini_Analysis
Baird Brothers Fine Hardwoods,Building Materials,https://www.buildersshow.com/exhibitor/bairdbrothersfinehardwoods,,No Website Found,,,,offline_dossier/detailed_reports/baird-brothers-fine-hardwoods/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Arkguard Screen LLC,Building Materials,https://www.buildersshow.com/exhibitor/arkguardscreenllc,,No Website Found,,,,offline_dossier/detailed_reports/arkguard-screen-llc/report.md,"ArkGuard Security Screen delivers premium security solutions designed to protect homes and businesses without compromising on style or functionality. With a strong commitment to excellence, our screens are crafted using cutting-edge materials and innovative engineering, ensuring superior durability and reliability for every environment. Based in sunny Southern California, we operate from a central hub that includes a modern showroom and operational facilities, providing personalized support, streamlined logistics, and product customization. By combining local expertise with global manufacturing resources, ArkGuard balances unparalleled quality with scalability, meeting the needs of a diverse and demanding market. Our security screens offer more than protection—they seamlessly blend with your space, enhancing both security and aesthetic appeal. Whether safeguarding your family or elevating your business, ArkGuard Security Screen is your trusted partner for solutions that inspire confidence and peace of mind.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Atlantic Canada,Building Materials,https://www.buildersshow.com/exhibitor/atlanticcanadapavilion,,No Website Found,,,,offline_dossier/detailed_reports/atlantic-canada/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Angi,Business Management & Professional Services,https://www.buildersshow.com/exhibitor/angi,,No Website Found,,,,offline_dossier/detailed_reports/angi/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Bedrock Wireless,"Construction Tools, Systems, Equipment, & Safety",https://www.buildersshow.com/exhibitor/bedrockwireless,,No Website Found,,,,offline_dossier/detailed_reports/bedrock-wireless/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Albion Engineering Company,Building Materials,https://www.buildersshow.com/exhibitor/albionengineeringcompany,,No Website Found,,,,offline_dossier/detailed_reports/albion-engineering-company/report.md,"Albion Engineering is a third-generation company internationally recognized as a leader in the field of hand held dispensing technologies. Albion supports multiple industries with innovative, high quality dispensing tools and accessories for the most demanding applications. We increase the efficiency and reduce the hassles of installing sealants and adhesives.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Adept Materials,Building Materials,https://www.buildersshow.com/exhibitor/adeptmaterials,,No Website Found,,,,offline_dossier/detailed_reports/adept-materials/report.md,"A new direction in moisture control. 
Adept Materials develops smart building products powered by our patented Vaporwisp™ technology, first created in our founder’s physics laboratory at Brown University. Our materials are engineered to respond to their environment, redefining how vapor, humidity, and temperature are managed throughout the building envelope. 
Lilypad Paint is the first product launched with this technology. We are now expanding Vaporwisp™ into weather-resistant wraps, integrated sheathing, and roofing underlayments to deliver a new generation of adaptive, high-performance materials. 
The future of materials is connected by design. We are building it.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
"ALUNA JX CO., LTD",Building Materials,https://www.buildersshow.com/exhibitor/alunajxcoltd,,No Website Found,,,,offline_dossier/detailed_reports/aluna-jx-co-ltd/report.md,"Aluna: The one-stop procurement factoryAbout us: Aluna is your stop when looking for human-made stone and bathroom products. Specializing in R&D, cost-effective production and time-mannered supply, we aim to provide the best service to our B2B clients.Core StrengthOur 60,000㎡ modern factory is equipped with intelligent production workshops and advanced equipment, forming a full-process production system. Large-scale production ensures bulk supply capacity, guaranteeing delivery efficiency and stable quality for large-scale projects and long-term cooperation.Key ProductsArtificial stone Basins: Adopting one-piece molding technology (seamless design, no hygiene dead corners), featuring stain resistance, scratch resistance and easy cleaning.Artificial stone Bathtubs: One-piece design with warm touch, high temperature resistance and impact resistance. Customizable in size and shape to fit various bathroom layouts.SMC shower pans: Strong and waterproof, making them ideal for modern bathrooms.Artificial stone shower accessories: From chairs to shower shelves, we are providing the full shower experience under high quality requirements.Quartz Stone: High hardness, strong stain resistance, suitable for high-end kitchen countertops, commercial space flooring, etc.Calcium: Excellent cost-effectiveness, rich in colors, suitable for wall decoration, general countertops and other engineering needs.Terrazzo: Environmentally friendly and durable, fireproof and moisture-proof, mostly used in public buildings, outdoor landscapes and other special scenarios.B2B Services & CooperationOur core is to offer factory-direct prices and strict quality control. We support customization for bulk orders (size, shape, texture) and provide professional services including sample confirmation, project consultation and logistics coordination.",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Bad Dog Tools,"Construction Tools, Systems, Equipment, & Safety",https://www.buildersshow.com/exhibitor/josephathomasltdbaddogtools,,No Website Found,,,,offline_dossier/detailed_reports/bad-dog-tools/report.md,"Since 1988, we've been making Patented Specialty and Multipurpose tools for Cutting and Drilling that are so good we guarantee 'em for life!  
NEW! SMB Bits feature a carbide build and unique multi-step tip that zips through sheet material including metal, laminate, solid surface and wood.  
NEW & IMPROVED! SDS Drill Bits now in THREE lengths: 6"", 8"", 12"" with a new flute style that removes debris more quickly for even faster drilling. 
Drill anything with BAD DOG Multipurpose Bits in sizes from 3/32"" to 1"".  
Cut anything with the HDII Endless Cutting & Grinding Wheel in either flat or flange style in 10 diameters.  
 Cut sheet metal to 14 gauge with precision and no distortion with Patented Biter Drill-Mounted Sheet Material Cutter. 
See these tools and more in action at IBS!",Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
Bad Dog Tools,"Construction Tools, Systems, Equipment, & Safety",https://www.buildersshow.com/exhibitor/josephathomasltdbaddogtools,,No Website Found,,,,offline_dossier/detailed_reports/bad-dog-tools/report.md,Please stop by and visit our booth,Error: 400 Client Error: Bad Request for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash:generateContent?key=%E2%80%98AIzaSyBumuHjQ2yMTUQyf1UPDNrMBEsfhy6pcRk%E2%80%99
